
------------------------------------
Users with no less than 10000 followers:
ID: 12, Follower Num: 1001061
ID: 13, Follower Num: 1031830
ID: 15, Follower Num: 14342
ID: 20, Follower Num: 1213787
ID: 53, Follower Num: 11206
ID: 107, Follower Num: 10806
ID: 291, Follower Num: 918026
ID: 448, Follower Num: 18663
ID: 572, Follower Num: 11791
ID: 586, Follower Num: 920732
ID: 633, Follower Num: 15076
ID: 767, Follower Num: 26582
ID: 874, Follower Num: 27196
ID: 885, Follower Num: 11400
ID: 888, Follower Num: 11184
ID: 989, Follower Num: 687238
ID: 1081, Follower Num: 22324
ID: 1084, Follower Num: 11290
ID: 1186, Follower Num: 18484
ID: 1192, Follower Num: 29126
ID: 1418, Follower Num: 14552
ID: 1495, Follower Num: 17319
ID: 2172, Follower Num: 44660
ID: 2547, Follower Num: 11484
ID: 2781, Follower Num: 14721
ID: 3475, Follower Num: 174027
ID: 3839, Follower Num: 23532
ID: 3840, Follower Num: 74576
ID: 4833, Follower Num: 16733
ID: 5827, Follower Num: 11779
ID: 6954, Follower Num: 31303
ID: 7846, Follower Num: 608383
ID: 8561, Follower Num: 11613
ID: 9306, Follower Num: 16794
ID: 10202, Follower Num: 89753
ID: 10297, Follower Num: 16524
ID: 10350, Follower Num: 1003728
ID: 10367, Follower Num: 28950
ID: 10396, Follower Num: 18213
ID: 10403, Follower Num: 14307
ID: 10419, Follower Num: 34438
ID: 10450, Follower Num: 19145
ID: 10867, Follower Num: 20782
ID: 11041, Follower Num: 13987
ID: 11426, Follower Num: 13527
ID: 11489, Follower Num: 28078
ID: 12522, Follower Num: 15803
ID: 12591, Follower Num: 10945
ID: 12759, Follower Num: 10815
ID: 12815, Follower Num: 11370
ID: 12916, Follower Num: 10391
ID: 12925, Follower Num: 13502
ID: 13046, Follower Num: 13306
ID: 13348, Follower Num: 101959
ID: 13479, Follower Num: 14144
ID: 13666, Follower Num: 11211
ID: 14763, Follower Num: 15007
ID: 15913, Follower Num: 49117
ID: 18713, Follower Num: 13185
ID: 24303, Follower Num: 15510
ID: 26743, Follower Num: 10800
ID: 30973, Follower Num: 271215
ID: 33423, Follower Num: 31233
ID: 33923, Follower Num: 13804
ID: 36823, Follower Num: 13540
ID: 41553, Follower Num: 21689
ID: 49793, Follower Num: 10788
ID: 50193, Follower Num: 18753
ID: 56623, Follower Num: 25606
ID: 57203, Follower Num: 10652
ID: 60273, Follower Num: 11197
ID: 61133, Follower Num: 24651
ID: 69153, Follower Num: 10254
ID: 69893, Follower Num: 24599
ID: 74673, Follower Num: 23652
ID: 79543, Follower Num: 49081
ID: 82243, Follower Num: 13691
ID: 150433, Follower Num: 30832
ID: 281563, Follower Num: 14713
ID: 287683, Follower Num: 12141
ID: 309073, Follower Num: 36247
ID: 428333, Follower Num: 2450749
ID: 457573, Follower Num: 11494
ID: 511283, Follower Num: 11711
ID: 608473, Follower Num: 11846
ID: 610533, Follower Num: 16498
ID: 610923, Follower Num: 33416
ID: 611043, Follower Num: 10730
ID: 611823, Follower Num: 36915
ID: 612473, Follower Num: 24863
ID: 616113, Follower Num: 14691
ID: 616173, Follower Num: 71855
ID: 618593, Follower Num: 103531
ID: 620803, Follower Num: 12783
ID: 621523, Follower Num: 11013
ID: 621583, Follower Num: 27660
ID: 621603, Follower Num: 13013
ID: 621613, Follower Num: 15230
ID: 624683, Follower Num: 11213
ID: 631583, Follower Num: 30774
ID: 639643, Follower Num: 15620
ID: 643443, Follower Num: 40359
ID: 646533, Follower Num: 17815
ID: 649673, Follower Num: 27594
ID: 651583, Follower Num: 470811
ID: 652193, Follower Num: 10851
ID: 655093, Follower Num: 25968
ID: 657863, Follower Num: 1110063
